Title,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Duration,Level
devops cloud agile foundation specialization,computer science,design product,specialization,english,subtitle english german arabic french portuguese european italian vietnamese russian spanish,cloud native devops scrum cloud computing agile test-driven development ci/cd behavior-driven development iaa paas saas hybrid multicloud agile software development scrum methodology,john rofrano rav ahuja,approximately 4 month complete,
cloud application development foundation specialization,information technology,cloud computing,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,devops python programming node.js html cs cloud application cloud native iaa paas saas hybrid multicloud cloud computing cascading style sheet cs html git software,rav ahuja upkar lidder michelle saltoun sachin jambur,approximately 6 month complete,
python everybody specialization,computer science,software development,specialization,english,subtitle english arabic french portuguese european chinese simplified italian vietnamese korean german russian turkish spanish,json xml python programming database dbms python syntax semantics basic programming language computer programming data structure tuple web scraping sqlite sql,charles russell severance,approximately 8 month complete,
information technology cloud fundamental specialization,information technology,cloud computing,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,fundamental cybersecurity cloud networking hardware technical support service management itsm troubleshooting career software development process database management software application development,skill network rav ahuja,approximately 7 month complete,
bi foundation sql etl data warehousing specialization,information technology,data management,specialization,english,subtitle english arabic persian,shell script bash unix shell linux cloud database python programming jupyter notebook relational database management system rdbms sql extraction transformation loading etl apache kafka apache airflow data pipeline,rav ahuja sam prokopchuk ramesh sannareddy hima vasudevan yan luo jeff grossman sabrina spillner,approximately 5 month complete,
natural language processing specialization,data science,machine learning,specialization,english,subtitle english japanese,word2vec machine translation sentiment analysis transformer attention model word embeddings locality-sensitive hashing vector space model parts-of-speech tagging n-gram language model autocorrect word embedding,younes bensouda mourri łukasz kaiser eddy shyu,approximately 4 month complete,
business foundation specialization,business,business essential,specialization,english,subtitle english arabic french portuguese european chinese simplified italian vietnamese german russian spanish japanese korean portuguese brazilian,positioning marketing marketing marketing strategy customer satisfaction financial accounting accounting financial statement balance sheet decision-making change management human resource hr discounted cash flow,barbara e. kahn peter fader jagmohan raju brian j bushee michael useem peter cappelli michael r robert christian terwiesch,approximately 7 month complete,
meta react native specialization,computer science,mobile web development,specialization,english,subtitle english,web development react web framework html cs mobile development javascript test-driven development front-end web development object-oriented programming oop linux bash unix shell github version control,taught meta staff,approximately 8 month complete,
mathematics machine learning data science specialization,computer science,algorithm,specialization,english,subtitle english,bayesian statistic machine learning mathematics probability linear regression linear equation eigenvalue eigenvectors linear algebra determinant calculus mathematical optimization gradient descent,luis serrano elena sanina anshuman singh magdalena bouza,approximately 3 month complete,
introduction finance accounting specialization,business,finance,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish korean chinese simplified japanese,corporate finance financial accounting financial statement accounting decision-making discounted cash flow cash flow analysis balance sheet generally accepted accounting principle accounting terminology,jessica wachter michael r robert brian j bushee,approximately 5 month complete,
ai foundation everyone specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish korean,data science deep learning artificial intelligence ai machine learning watson computer job application programming interface api watson,rav ahuja antonio cangiano,approximately 3 month complete,
finance quantitative modeling analyst specialization,business,finance,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish portuguese brazilian korean,financial modeling corporate finance microsoft excel modeling linear regression probabilistic model regression analysis monte carlo method linear programming lp solver discounted cash flow decision-making,richard waterman huesman richard lambert christopher d. ittner michael r robert,approximately 4 month complete,
machine learning engineering production mlops specialization,data science,machine learning,specialization,english,subtitle english french,managing machine learning production system deployment pipeline model pipeline data pipeline machine learning engineering production human-level performance hlp concept drift model baseline project scoping design ml deployment challenge ml metadata convolutional neural network,andrew ng cristian bartolomé arámburu robert crowe laurence moroney,approximately 4 month complete,
business financial modeling specialization,business,business essential,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish portuguese brazilian,financial modeling microsoft excel simulation linear programming lp modeling linear regression probabilistic model regression analysis monte carlo method solver risk cash flow,richard waterman huesman sergei savin senthil veeraraghavan richard lambert robert w. holthausen,approximately 6 month complete,
business analytics specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish chinese simplified korean mongolian,customer analytics analytics business analytics decision tree predictive analytics regression analysis marketing performance measurement management simulation mathematical optimization solver talent management performance management,eric bradlow peter fader raghu iyengar ron berman senthil veeraraghavan sergei savin noah gans cade massey martine haas matthew bidwell brian j bushee christopher d. ittner wharton teaching staff,approximately 6 month complete,
excel skill business specialization,business,business essential,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish hungarian,data validation microsoft excel microsoft excel macro pivot table graph spreadsheet chart concatenation consolization pivot chart lookup table microsoft excel vba,nicky bull dr prashan s. m. karunaratne professor yvonne breyer,approximately 6 month complete,
learn sql basic data science specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,data analysis apache spark delta lake sql data science sqlite a/b testing query string predictive analytics presentation skill creating metric exploratory data analysis,sadie st. lawrence katrina glaeser poole brooke wenig conor murphy noxon,approximately 4 month complete,
materiality esg factor specialization,business,finance,specialization,english,subtitle english,esg investment climate change finance social activism,witold henisz christopher geczy sarah light mary-hunter mcdonnell,approximately 4 month complete,
ai business specialization,business,leadership management,specialization,english,subtitle english,artificial intelligence ai machine learning management analytics fraud prevention,kartik hosanagar prasanna tambe michael r robert raghu iyengar matthew bidwell peter cappelli lynn wu kevin werbach,approximately 4 month complete,
digital product management specialization,computer science,design product,specialization,english,subtitle english chinese traditional arabic french portuguese european italian vietnamese german russian spanish,hypothesis-driven development product management design thinking agile lean startup product/market fit innovation pipeline agile user story user experience design uxd agile software development software development usability testing,alex cowan,approximately 5 month complete,
leading modern day business specialization,business,leadership management,specialization,english,subtitle english arabic french portuguese european italian vietnamese korean german russian spanish chinese traditional hungarian,marketing business strategy leadership management storytelling innovation technology disruption digital trend competitive lifecycle digital strategy strategic management strategic thinking design thinking,michael lenox amane dannouni sonja rueger ching fong ong jeanne m. liedtka alex cowan,approximately 4 month complete,
graphic design specialization,art humanity,music art,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish serbian,visual communication branding communication graphic design art history typography creativity graphic design theory color theory adobe illustrator history adobe indesign,michael worthington anther kiley gail swanlund louise sandhaus lorraine wild,approximately 6 month complete,
security analyst fundamental specialization,information technology,security,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,threat intelligence digital forensics data breach cybersecurity analyst computer security incident management scripting forensics penetration test cybersecurity application security network defensive tactic security analyst,ibm security learning service,approximately 4 month complete,
improve english communication skill specialization,language learning,learning english,specialization,english,subtitle english arabic french portuguese european chinese simplified italian portuguese brazilian vietnamese korean german russian turkish slovak spanish japanese persian afrikaans hindi,professional email writing presentation writing communication stress public speaking speech,gerry lander amalia b. stephen karen peterson,approximately 5 month complete,
entrepreneurship specialization,business,entrepreneurship,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,growth strategy exit strategy finance entrepreneurship discovery-driven planning elevator pitch planning brand management choosing advisor brand strategic management marketing,lori rosenkopf karl t. ulrich ethan mollick kartik hosanagar david hsu,approximately 6 month complete,
foundation positive psychology specialization,business,business essential,specialization,english,subtitle english arabic french ukrainian portuguese european greek italian vietnamese german russian spanish polish japanese,gratitude goal setting research methodology resilience character strength virtue positive education positive psychology savoring plan communication mindfulness flourishing,martin e.p seligman ph.d. james pawelski ph.d. claire robertson-kraft ph.d. angela duckworth ph.d. karen reivich ph.d.,approximately 5 month complete,
data science specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese korean german russian spanish chinese simplified portuguese brazilian japanese,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,jeff leek phd roger d. peng phd brian caffo phd,approximately 11 month complete,
supply chain management specialization,business,business essential,specialization,english,subtitle english arabic french portuguese european greek italian vietnamese german russian turkish spanish hungarian,forecasting logistics supply chain lean six sigma supply chain risk management warehouse management logistics planning inventory six sigma microsoft excel planning demand forecasting,rudolf leuschner ph.d.,approximately 6 month complete,
fintech foundation application financial technology specialization,business,business essential,specialization,english,subtitle english french portuguese european vietnamese russian spanish chinese simplified,investment management cryptocurrency regulation blockchain,christopher geczy natasha sarin jessica wachter sarah hammer david musto,approximately 4 month complete,
microsoft 365 fundamental specialization,business,business essential,specialization,english,subtitle english,create maintain professional looking document create edit workbook multiple sheet represent data visually create manage presentation describe apps service available microsoft 365 subscription document microsoft word microsoft excel chart worksheet microsoft powerpoint presentation,microsoft,approximately 5 month complete,
search engine optimization seo specialization,business,marketing,specialization,english,subtitle english,search algorithm search engine optimization seo mathematical optimization semantics social medium keyword research marketing content marketing social medium marketing,rebekah may eric enge,approximately 5 month complete,
ai product management specialization,data science,machine learning,specialization,english,subtitle english,data science artificial intelligence ai machine learning predictive analytics modeling artificial neural network project management privacy design thinking ethic,jon reifschneider,approximately 4 month complete,
introduction programming python java specialization,computer science,software development,specialization,english,subtitle english korean,programming principle python programming java programming data structure computer programming python tool python syntax semantics data science python library data analysis data visualization dataviz java tool,brandon krakowsky,approximately 4 month complete,
construction management specialization,business,leadership management,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,schedule cost estimate cost control finance real estate finance project management construction management work breakdown structure project planning linear scheduling method program evaluation review technique pert critical path method,ibrahim odeh ph.d. mba,approximately 7 month complete,
ibm introduction machine learning specialization,data science,data analysis,specialization,english,subtitle english french portuguese european russian spanish,machine learning regression machine learning classification machine learning unsupervised learning exploratory data analysis artificial intelligence ai feature engineering statistical hypothesis testing regression analysis supervised learning linear regression ridge regression,joseph santarcangelo svitlana lana kramar mark j grover miguel maldonado yan luo xintong li,approximately 6 month complete,
data analysis presentation skill pwc approach specialization,business,business essential,specialization,english,subtitle english arabic french portuguese european italian vietnamese korean german russian turkish spanish japanese,data analysis microsoft excel data visualization dataviz presentation data-informed decision-making big data pivot table data cleansing dashboard business data virtualization communication presentation design,alex mannella,approximately 6 month complete,
aws fundamental specialization,information technology,cloud computing,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish korean,aws identity access management networking aws aws management console cloud computing aws security aws information privacy cloud management security cloud application aws lambda amazon lex,morgan willis seph robinson rudy chetty hong pham alex g. wes gruver bobbie atristain rick hurst adam becker,approximately 5 month complete,
data science foundation using r specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese korean german russian spanish chinese simplified portuguese brazilian japanese,data science machine learning github r programming exploratory data analysis rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,jeff leek phd roger d. peng phd brian caffo phd,approximately 5 month complete,
python 3 programming specialization,computer science,software development,specialization,english,subtitle english arabic french portuguese european italian portuguese brazilian vietnamese korean german russian spanish,json computer programming python programming sorting,paul resnick steve oney christopher brook,approximately 5 month complete,
reinforcement learning specialization,data science,machine learning,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,artificial intelligence ai machine learning reinforcement learning function approximation intelligent system,martha white adam white,approximately 5 month complete,
accelerated computer science fundamental specialization,computer science,algorithm,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,run-time analysis algorithm hash table tree data structure object-oriented programming oop,wade fagen-ulmschneider,approximately 3 month complete,
digital marketing specialization,business,marketing,specialization,english,subtitle english arabic french portuguese european italian portuguese brazilian vietnamese german russian spanish persian,digital marketing marketing pricing strategy marketing mix product strategy data collection analytics data analysis data visualization dataviz marketing analytics marketing performance marketing channel,aric rindfleisch kevin hartman mike yao vishal sachdev,approximately 8 month complete,
devops aws specialization,computer science,software development,specialization,english,subtitle english,continuous integration devops monitoring logging continuous delivery microservices aws identity access management networking aws aws management console cloud computing aws security test automation aws cloud,morgan willis seph robinson rafael lope russell sayers alana layton,approximately 3 month complete,
generative adversarial network gans specialization,data science,machine learning,specialization,english,subtitle english arabic french portuguese european chinese simplified italian vietnamese korean german russian turkish spanish,generator image-to-image translation glossary computer graphic discriminator generative adversarial network controllable generation wgans conditional generation component gans dcgans bias gans stylegans,sharon zhou eda zhou eric zelikman,approximately 3 month complete,
data visualization tableau specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,storyboarding map tableau software data visualization dataviz data virtualization visualization computer graphic data analysis visual analytics interactive visualization,desiree abbott govind acharya hunter whitney suk s. brar m.b.a.,approximately 6 month complete,
certified cybersecurity specialization,information technology,security,specialization,english,subtitle english,cybersecurity network security security principle risk information assurance security governance computer security incident management business continuity disaster recovery logical control administrative control,isc ² education training,approximately 8 month complete,
business strategy specialization,business,business strategy,specialization,english,subtitle english arabic french portuguese european italian portuguese brazilian vietnamese german russian spanish korean,strategic analysis strategic management strategic thinking business strategy capability analysis competitive position industry structure business competition merger acquisition innovation strategy growth strategy strategy implementation,michael lenox jared harris scott snell,approximately 6 month complete,
applied data science python specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian portuguese brazilian vietnamese korean german russian spanish,text mining python programming panda matplotlib numpy data cleansing data virtualization data visualization dataviz machine learning ml algorithm machine learning scikit-learn natural language toolkit nltk,christopher brook kevyn collins-thompson v. g. vinod vydiswaran daniel romero,approximately 5 month complete,
human resource management hr people manager specialization,business,business strategy,specialization,english,subtitle english arabic french portuguese european italian vietnamese korean german russian spanish,performance management interviewing human resource hr onboarding managing people resource management hr strategy recruiting recruitment performance appraisal organizational culture incentive,john w. budd amy simon stacy doepner-hove larry bourgerie alan benson mike davis,approximately 6 month complete,
achieving personal professional success specialization,personal development,personal development,specialization,english,subtitle english tamil arabic french portuguese european portuguese brazilian russian turkish spanish chinese traditional chinese simplified italian vietnamese german,goal setting happiness personality development personal development communication negotiation deception,richard shell maurice schweitzer stewart d. friedman cade massey,approximately 4 month complete,
regulatory compliance specialization,business,business essential,specialization,english,subtitle english french ukrainian portuguese european russian spanish persian,risk management business strategy compliance human resource management brand management strategic planning management organizational behavior information privacy data management privacy compliance operation management,andrew kandel lauren steinfeld,approximately 4 month complete,
tesol certificate part 1 teach english specialization,language learning,learning english,specialization,english,subtitle english arabic french ukrainian portuguese european chinese simplified italian portuguese brazilian vietnamese german russian spanish tamil persian,education online learning,emilia gracia dr. justin shewell andrea mürau haraway dr. shane dixon jessica cinco,approximately 6 month complete,
financial engineering risk management specialization,business,finance,specialization,english,subtitle english korean,quantitative analysis asset allocation algorithmic trading portfolio optimization mathematical finance derivative swap option fixed income binomial distribution black scholes model model calibration modeling pricing credit default swap,garud iyengar ali hirsa martin haugh,approximately 7 month complete,
ui ux design specialization,art humanity,music art,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,website wireframe strategy user interface design ui design user experience ux user research graphic design adobe xd adobe illustrator invision marvel adobe indesign treejack,michael worthington roman jaster,approximately 4 month complete,
product ideation design management specialization,business,marketing,specialization,english,subtitle english french portuguese european russian spanish,product development ideation product management product design innovation market analysis entrepreneurship competitive analysis customer development marketing leadership user experience ux,dr. james v. green cait von schnetlage michael r. pratt,approximately 5 month complete,
financial analysis skill success specialization,business,finance,specialization,english,subtitle english,accounting scenario analysis financial statement analysis strategic management finance risk financial analysis financial statement planning decision-making data analysis budget,gy college business university illinois,approximately 3 month complete,
creative writing specialization,art humanity,music art,specialization,english,subtitle english arabic french portuguese european serbian italian vietnamese german russian spanish hungarian polish,short story writing fiction writing creativity copy editing,brando skyhorse amy bloom amity gaige salvatore scibona,approximately 6 month complete,
data structure algorithm specialization,computer science,algorithm,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,debugging software testing algorithm data structure computer programming dynamic programming binary search tree priority queue hash table stack abstract data type list graph theory,neil rhodes daniel kane michael levin michael levin pavel pevzner alexander s. kulikov,approximately 8 month complete,
software product management specialization,computer science,design product,specialization,english,subtitle english arabic french portuguese european italian portuguese brazilian vietnamese korean german russian spanish hungarian greek,software requirement product management scrum agile project management agile software development software product management software project management lean software development software development process scrum software development user story,kenny wong,approximately 6 month complete,
foundation management specialization,business,leadership management,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish chinese traditional persian,accounting leadership finance marketing financial accounting financial statement balance sheet dupont analysis management accounting business analysis management style management,marc badia miguel antón mario capizzani anneloes raes carlos garcía pont,approximately 6 month complete,
genomic data science specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european serbian italian vietnamese german russian spanish,bioinformatics statistic data science computational biology biopython python programming genomics bioinformatics algorithm algorithm algorithm string samtools unix,steven salzberg phd jeff leek phd mihaela pertea phd ben langmead phd jacob pritt liliana florea phd kasper daniel hansen phd,approximately 6 month complete,
method statistic social science specialization,social science,governance society,specialization,english,subtitle english arabic french portuguese european chinese simplified italian vietnamese german russian spanish,statistic statistical inference r programming qualitative research confidence interval statistical hypothesis testing regression analysis analysis variance anova,annemarie zand scholten gerben moerman matthijs rooduijn emiel van loon,approximately 10 month complete,
nosql big data spark foundation specialization,information technology,data management,specialization,english,subtitle english,apache hadoop mongodb big data apache spark nosql database nosql cloud database cloudant cassandra sparksql sparkml,rav ahuja ramesh sannareddy steve ryan karthik muthuraman aije egwaikhide romeo kienzler,approximately 4 month complete,
think like cfo specialization,business,finance,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish chinese traditional chinese simplified korean,financial accounting accounting financial statement balance sheet dupont analysis management accounting business analysis finance corporate finance financial risk evaluation investment,marc badia miguel antón javier estrada,approximately 6 month complete,
tensorflow advanced technique specialization,data science,machine learning,specialization,english,subtitle english,model interpretability custom training loop custom exotic model generative machine learning object detection functional api custom layer custom exotic model functional api custom loss function distribution strategy basic tensor functionality gradienttape optimization,laurence moroney eddy shyu,approximately 5 month complete,
data engineering big data machine learning gcp specialization,data science,machine learning,specialization,english,subtitle english french portuguese european russian spanish,tensorflow bigquery google cloud platform cloud computing,google cloud training,approximately 4 month complete,
mathematics machine learning specialization,data science,machine learning,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish greek,eigenvalue eigenvectors principal component analysis pca multivariable calculus linear algebra basis linear algebra transformation matrix linear regression vector calculus gradient descent dimensionality reduction python programming,david dye samuel j. cooper a. freddie page marc peter deisenroth,approximately 4 month complete,
modern contemporary art design specialization,art humanity,music art,specialization,english,subtitle english arabic french portuguese european greek italian portuguese brazilian vietnamese german russian turkish spanish persian hungarian serbian,photography design art history museum creativity art history art direction,lisa mazzola sarah meister lucy gallun sophie cavoulacos sean anderson arièle dionne-krosnick erica papernik-shimizu christian rattemeyer paola antonelli michelle millar fisher stephanie kramer anna burckhardt,approximately 7 month complete,
agile development specialization,computer science,design product,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,hypothesis-driven development design thinking user experience ux agile lean startup agile user story user experience design uxd agile software development product management software development usability testing continuous delivery,alex cowan,approximately 4 month complete,
career success specialization,business,business essential,specialization,english,subtitle english russian arabic french portuguese european italian portuguese brazilian vietnamese korean german spanish kazakh hungarian ukrainian chinese simplified afrikaans czech urdu indonesian telugu lithuanian,project management information technology management communication negotiation leadership team management task management management planning plan accounting financial ratio,rob stone pmp m.ed margaret meloni mba pmp david standen mba diane spiegel sue robin m.s ed dave nagy patricia bravo mba sphr,approximately 11 month complete,
u.s. federal taxation specialization,business,business essential,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,depreciation federal tax return tax law,matthew hutchens michael p donohoe phd cpa,approximately 9 month complete,
business music production specialization,art humanity,music art,specialization,english,subtitle english,copyright music production contract pro tool music recording music business revenue stream teambuilding audio production music songwriting create music legally,john p. kellogg esq stephen webber dr. e. michael harrington chrissy tignor,approximately 4 month complete,
business health care specialization,health,healthcare management,specialization,english,subtitle english french portuguese european russian spanish,insurance health economics,richard lambert christopher d. ittner ezekiel j. emanuel md phd guy david phd michael useem peter cappelli christian terwiesch amol s. navathe md phd david a. asch md mba roy rosin mba kevin volpp md phd,approximately 4 month complete,
practical data science aws cloud specialization,data science,machine learning,specialization,english,subtitle english,natural language processing bert ml pipeline ml operation mlops a/b testing model deployment data labeling scale automated machine learning automl statistical data bias detection multi-class classification fasttext blazingtext data ingestion exploratory data analysis ml pipeline mlops model training deployment bert model debugging evaluation,antje barth shelbee eigenbrode sireesha muppala chris fregly,approximately 3 month complete,
risk management specialization,business,finance,specialization,english,subtitle english,credit risk measurement management application financial statistic probability market risk measurement management operational risk measurement management risk management financial risk leadership financial risk estimation management regulation credit analysis financial analysis credit risk market risk management,joseph iraci jack farmer tracy williams,approximately 6 month complete,
music production specialization,art humanity,music art,specialization,english,subtitle english spanish portuguese brazilian chinese simplified,audio recording music music production sound design audio editing audio production songwriting music recording midi pro tool music editing music mixing,stephen webber loudon stearns chrissy tignor,approximately 5 month complete,
google cloud database engineer specialization,information technology,cloud computing,specialization,english,subtitle english french german russian spanish japanese,cloud platform cloud storage google cloud platform google compute engine google app engine gae cloud computing mysql cloud sql sql operation database dbms data management postgresql,google cloud training,approximately 7 month complete,
architecting google compute engine specialization,information technology,cloud computing,specialization,english,subtitle english french german russian spanish japanese,google compute engine google app engine gae google cloud platform cloud computing virtual machine network architecture debugging cloud storage data store load balancing virtual private network vpn autoscaling,google cloud training,approximately 5 month complete,
global procurement sourcing specialization,business,leadership management,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish javanese,negotiation contract,klock,approximately 7 month complete,
entrepreneurship growing business specialization,business,business strategy,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish portuguese brazilian,entrepreneurship leadership management innovation finance hr tech financial accounting accounting financial statement balance sheet leadership business ethic ethical leadership,luann j. lynch mary gentile r. edward freeman alex cowan,approximately 4 month complete,
six sigma yellow belt specialization,business,leadership management,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian indonesian spanish romanian,project management lean six sigma binomial distribution six sigma process improvement lean method statistic data analysis causality,bill bailey phd gregory wile phd david cook phd christina scherrer phd,approximately 5 month complete,
diy musician specialization,art humanity,music art,specialization,english,subtitle english french portuguese european russian spanish,crowdfunding music production social medium songwriting music recording music poetry audio production midi pro tool music business marketing,pat pattison stephen webber chrissy tignor leah waldo,approximately 5 month complete,
algorithm specialization,computer science,algorithm,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,algorithm dynamic programming greedy algorithm divide conquer algorithm randomized algorithm sorting algorithm graph data structure hash table spanning tree np-completeness,tim roughgarden,approximately 4 month complete,
influencing storytelling change management governance specialization,business,leadership management,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish hungarian,change management communication negotiation risk governance,professor richard badham brenda santiago dr andrew heys associate professor lawrence ang arabella macpherson professor elizabeth sheedy,approximately 6 month complete,
applied data science r specialization,data science,data analysis,specialization,english,subtitle english,shiny dashboard data analysis modelling r programmin language data visualization dataviz sql rdbms data science r programming select sql relational database rdbms data analysis statistical analysis linear regression,yan luo rav ahuja tiffany zhu yiwen li gabriela de queiroz saishruthi swaminathan jeff grossman,approximately 7 month complete,
geographic information system gi specialization,data science,data analysis,specialization,english,subtitle english arabic french portuguese european italian vietnamese german russian spanish,geographic information system gi satellite imagery analysis model building spatial visualization spatial analysis data analysis data visualization dataviz software analytics workflow data management,nick santos,approximately 6 month complete,
decentralized finance defi future finance specialization,business,finance,specialization,english,subtitle english,cryptography smart contract decentralized protocol governance blockchain mechanic consensus mechanism digital signature address mechanic flash loan bonding curve set protocol ’ tokenization method mechanic compound aave,cam harvey,approximately 4 month complete,
project management tool career development specialization,business,business essential,specialization,english,subtitle english croatian arabic french portuguese european italian catalan portuguese brazilian vietnamese afrikaans german russian thai spanish ukrainian hungarian,project management risk management communication negotiation project planning project planning change control change management email writing proofreading writing,margaret meloni mba pmp sue robin m.s ed diane spiegel,approximately 6 month complete,
